variable_name,variable,ground_truth,ground_truth_distribution_type,mean,std,a,b
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given their total cholesterol in mg/dL is greater than 183.0 and less than or equal to 212.0, and their blood cadmium level in ug/L is less than or equal to 0.19",medium_7,1.5167970001529811,normal,0.6,0.15,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their waist circumference in centimeters is less than or equal to 87.9, and their blood lead level in ug/dL is greater than 1.4124999999999999",medium_8,0.8164067112567804,normal,0.7,0.15,,
"The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor, given they have ever been diagnosed with diabetes by a doctor, and that they do not take medication for depression",medium_9,0.12122371674014276,beta,0.095,0.015,36.205555555555556,344.9055555555556
"The probability that the average adult (over 18) in the US population has ever had serious difficulty concentrating, given their total cholesterol in mg/dL is greater than 183.0 and less than or equal to 212.0, and their blood mercury level in ug/L is greater than 1.505",medium_10,0.05592530915622303,beta,0.15,0.06,5.1625000000000005,29.25416666666667
"The average total cholesterol among adult (over 18) individuals in units of mg/dL in the general US population, given they are currently taking insulin, and their weight in kilograms is greater than 102.6",medium_11,165.96316136777656,normal,190.0,15.0,,
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given they are currently taking insulin, and their weight in kilograms is greater than 88.2 and less than or equal to 102.6",medium_12,0.9838656546177214,beta,0.995,0.005,197.01000000000016,0.9900000000000018
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their blood mercury level in ug/L is less than or equal to 0.35, and that they do not take medication for depression",medium_13,0.4640578958978977,normal,0.35,0.05,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given they have ever been diagnosed with cancer by a doctor, and they have not been diagnosed with diabetes by a doctor",medium_14,0.5068630511625142,normal,0.55,0.12,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their blood mercury level in ug/L is less than or equal to 0.35, and they have ever been diagnosed with cancer by a doctor",medium_15,78.83461705541391,normal,80.0,5.0,,
"The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor, given their blood mercury level in ug/L is less than or equal to 0.35, and they have ever been diagnosed with cancer by a doctor",medium_16,0.0936190981100578,beta,0.08,0.03,6.462222222222223,74.31555555555556
"The probability that the average adult (over 18) in the US population has ever had serious difficulty concentrating, given they have ever had a heart attack that was confirmed by a doctor, and their blood mercury level in ug/L is less than or equal to 0.3525",medium_17,0.3685141814339768,beta,0.24,0.06,11.92,37.74666666666667
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their blood lead level in ug/dL is greater than 1.48, and they have ever had a heart attack that was confirmed by a doctor",medium_18,0.3471136320968788,beta,0.32,0.07,13.890612244897957,29.517551020408156
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given they have ever been diagnosed with cancer by a doctor, and they are not currently taking insulin",medium_19,1.5350766308733583,normal,0.8,0.3,,
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given their blood cadmium level in ug/L is greater than 0.5425, and their blood lead level in ug/dL is greater than 1.25 and less than or equal to 1.92, and they have serious difficulty concentrating",hard_0,0.8100218524873639,normal,1.6,0.5,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their waist circumference in centimeters is less than or equal to 87.9, and that they do not take medication for depression, and their blood lead level in ug/dL is greater than 0.49 and less than or equal to 0.81",hard_1,61.41386595425482,normal,65.0,4.0,,
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given their weight in kilograms is greater than 66.5 and less than or equal to 78.9, and their blood cadmium level in ug/L is greater than 0.56, and their blood lead level in ug/dL is less than or equal to 0.84",hard_2,1.014119080480835,normal,0.7,0.2,,
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their blood lead level in ug/dL is greater than 0.92 and less than or equal to 1.48, and their blood mercury level in ug/L is greater than 0.39 and less than or equal to 0.78, and their total cholesterol in mg/dL is greater than 214.0",hard_3,0.04653997739895047,beta,0.18,0.04,16.425,74.825
"The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor, given their total cholesterol in mg/dL is greater than 183.0 and less than or equal to 212.0, and they take medication for depression, and their weight in kilograms is greater than 84.6 and less than or equal to 98.275",hard_4,0.2518923724324972,beta,0.1,0.015,39.900000000000006,359.1000000000001
"The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor, given their blood lead level in ug/dL is less than or equal to 0.55, and their total cholesterol in mg/dL is greater than 152.0 and less than or equal to 176.0, and their waist circumference in centimeters is greater than 96.7 and less than or equal to 111.5",hard_5,0.013123049282539209,beta,0.08,0.025,9.340799999999998,107.41919999999999
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given their weight in kilograms is greater than 78.9 and less than or equal to 94.5, and they are not currently taking insulin, and they have serious difficulty concentrating",hard_6,0.8974164936058019,normal,1.1,0.3,,
"The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population, given they have ever been diagnosed with cancer by a doctor, and their blood mercury level in ug/L is greater than 1.4575, and their weight in kilograms is greater than 68.25 and less than or equal to 79.69999999999999",hard_7,10.881872088685798,normal,9.0,2.0,,
"The probability that the average adult (over 18) in the US population is currently taking insulin, given their weight in kilograms is greater than 78.9 and less than or equal to 94.5, and their waist circumference in centimeters is greater than 109.2, and they have ever been diagnosed with diabetes by a doctor",hard_8,0.22910110467817726,beta,0.3,0.06,17.2,40.13333333333333
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their blood cadmium level in ug/L is greater than 0.5425, and their blood manganese level in ug/L is less than or equal to 7.45, and they have health insurance",hard_9,78.12107684632,normal,81.0,5.0,,
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given they have ever been diagnosed with cancer by a doctor, and their total cholesterol in mg/dL is greater than 156.0 and less than or equal to 183.0, and they are not currently taking insulin",hard_10,1.291427894718302,normal,1.3,0.4,,
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given their blood cadmium level in ug/L is greater than 0.31 and less than or equal to 0.5425, and they have not been diagnosed with diabetes by a doctor, and their waist circumference in centimeters is less than or equal to 87.4",hard_11,1.6437127364315731,normal,0.5,0.1,,
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given their weight in kilograms is greater than 78.9 and less than or equal to 94.5, and their waist circumference in centimeters is greater than 98.07499999999999 and less than or equal to 103.6, and they have not been diagnosed with diabetes by a doctor",hard_12,1.4837072564715934,normal,1.2,0.3,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their blood cadmium level in ug/L is greater than 0.5425, and they take medication for depression, and their waist circumference in centimeters is less than or equal to 92.1",hard_13,58.13594758245014,normal,75.0,4.0,,
"The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor, given they are currently taking insulin, and they have not been diagnosed with cancer by a doctor, and their total cholesterol in mg/dL is greater than 164.5 and less than or equal to 188.75",hard_14,0.2245985138620538,beta,0.18,0.05,10.447199999999999,47.5928
"The average total cholesterol among adult (over 18) individuals in units of mg/dL in the general US population, given their blood mercury level in ug/L is greater than 0.68 and less than or equal to 1.46, and they do not have serious difficulty concentrating, and their blood lead level in ug/dL is greater than 1.43",hard_15,203.11808217336528,normal,190.0,10.0,,
"The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor, given they have ever been diagnosed with diabetes by a doctor, and they have health insurance, and their weight in kilograms is greater than 84.7 and less than or equal to 101.175",hard_16,0.17998865508938455,beta,0.1,0.04,5.525000000000001,49.72500000000001
"The average waist circumference among adult (over 18) individuals in cm in the general US population, given they have health insurance, and they have ever had a heart attack that was confirmed by a doctor, and they have ever been diagnosed with diabetes by a doctor",hard_17,113.15729834950707,normal,111.0,5.0,,
"The probability that the average adult (over 18) in the US population takes medication for depression, given they do not have health insurance, and their blood manganese level in ug/L is greater than 12.165, and their weight in kilograms is greater than 76.5 and less than or equal to 90.19999999999999",hard_18,0.027431536440678386,beta,0.09,0.03,8.1,81.9
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their blood lead level in ug/dL is less than or equal to 0.55, and their blood cadmium level in ug/L is less than or equal to 0.13, and their waist circumference in centimeters is greater than 86.0 and less than or equal to 99.0",hard_19,0.08267806962910745,beta,0.08,0.03,6.462222222222223,74.31555555555556
