variable_name,variable,ground_truth,ground_truth_distribution_type,fitted_distribution_type,mu,sigma,mean,std,a,b
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Retail & Wholesale sector",single_14,139015.625,normal,lognormal,11.51,0.4,108012.25803610642,44992.11304511894,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in CA",single_15,150660.61693548388,normal,lognormal,11.7,0.4,130613.77957221285,54406.69459755962,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",double_0,138975.45454545456,normal,lognormal,11.81,0.3,140786.52288802722,43204.32713097596,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",double_1,108505.234375,normal,lognormal,11.78,0.3,136625.65232051068,41927.4462942242,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 10000+ Employees",double_2,118297.25,normal,lognormal,11.81,0.3,140786.52288802722,43204.32713097596,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 1 to 50 Employees",double_3,113714.28571428571,normal,lognormal,11.4076,0.4,97499.25344672921,40612.95923860378,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 10000+ Employees",double_4,112529.09042553192,normal,lognormal,11.7,0.3,126121.3729928006,38703.91103644614,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Healthcare sector",double_5,116711.14102564103,normal,lognormal,11.51,0.4,108012.25803610642,44992.11304511894,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company is public",double_6,139578.4756097561,normal,lognormal,11.78,0.3,136625.65232051068,41927.4462942242,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 1001 to 5000 Employees",double_7,118237.36842105263,normal,lognormal,11.78,0.3,136625.65232051068,41927.4462942242,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in CA",double_8,146107.8173076923,normal,lognormal,11.7,0.4,130613.77957221285,54406.69459755962,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in PA",double_9,110533.33333333333,normal,lognormal,11.51,0.3,104297.2213818742,32006.55275092045,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees",double_10,135604.4896373057,normal,gaussian,,,150000.0,20000.0,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA",double_11,153948.75,normal,lognormal,11.81,0.4,145801.2978362103,60733.000065409025,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company has 10000+ Employees",double_12,143354.83870967742,normal,lognormal,11.81,0.3,140786.52288802722,43204.32713097596,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company is public",double_13,132852.9411764706,normal,lognormal,11.7,0.3,126121.3729928006,38703.91103644614,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company is public",double_14,133413.73983739837,normal,lognormal,11.7,0.3,126121.3729928006,38703.91103644614,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA, the company is not public",double_15,110052.63157894737,normal,lognormal,11.51,0.4,108012.25803610642,44992.11304511894,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 1001 to 5000 Employees",double_16,113263.15789473684,normal,lognormal,11.7,0.3,126121.3729928006,38703.91103644614,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Aerospace & Defense sector",double_17,114908.16326530612,normal,lognormal,11.7,0.4,130613.77957221285,54406.69459755962,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company has 10000+ Employees",double_18,138943.62637362638,normal,lognormal,11.736,0.3,130744.45868044942,40122.63565799653,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is in CA",double_19,152904.9014084507,normal,lognormal,11.81,0.3,140786.52288802722,43204.32713097596,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has $10+ billion (USD) revenue, and the company has 10000+ Employees",triple_0,118251.32857142857,normal,lognormal,11.85,0.3,146532.1298829419,44967.529169652254,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees, and the company is public",triple_1,139448.54430379748,normal,gaussian,,,150000.0,20000.0,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA, and the company has 10000+ Employees",triple_2,155810.33898305084,normal,lognormal,11.85,0.3,146532.1298829419,44967.529169652254,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Healthcare sector, and the company has 10000+ Employees",triple_3,118862.40322580645,normal,lognormal,11.7,0.3,126121.3729928006,38703.91103644614,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA, and the company is in the Information Technology sector",triple_4,149777.29166666666,normal,lognormal,11.85,0.3,146532.1298829419,44967.529169652254,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company has $10+ billion (USD) revenue, and the company is in the Information Technology sector",triple_5,141910.6349206349,normal,lognormal,11.918,0.3,156842.90840420686,48131.6832312031,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is not public, and the company has $1 to $5 billion (USD) revenue",triple_6,106126.84782608696,normal,lognormal,11.7,0.3,126121.3729928006,38703.91103644614,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company is public, and the company is in CA",triple_7,151015.88235294117,normal,lognormal,11.918,0.3,156842.90840420686,48131.6832312031,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company has $10+ billion (USD) revenue, and the company is in CA",triple_8,150605.63636363635,normal,lognormal,12.07,0.3,182590.27733054178,56032.99173031299,,
