variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,mu,sigma,a,b
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Retail & Wholesale sector",single_14,normal,lognormal,11.51,0.3,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in CA",single_15,normal,lognormal,11.775,0.2,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",double_0,normal,lognormal,11.695,0.2,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",double_1,normal,lognormal,11.78,0.2,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 10000+ Employees",double_2,normal,lognormal,11.7,0.2,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 1 to 50 Employees",double_3,normal,gaussian,,,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 10000+ Employees",double_4,normal,gaussian,120000.0,15000.0,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Healthcare sector",double_5,normal,lognormal,11.7,0.3,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company is public",double_6,normal,lognormal,11.92,0.2,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 1001 to 5000 Employees",double_7,normal,lognormal,11.7,0.25,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in CA",double_8,normal,lognormal,11.7,0.3,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in PA",double_9,normal,lognormal,11.51,0.3,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees",double_10,normal,lognormal,11.92,0.2,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA",double_11,normal,lognormal,12.0,0.3,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company has 10000+ Employees",double_12,normal,lognormal,11.78,0.2,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Financial Services sector, the company is public",double_13,normal,lognormal,11.775,0.25,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company is public",double_14,normal,lognormal,11.7,0.3,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA, the company is not public",double_15,normal,lognormal,11.46,0.3,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 1001 to 5000 Employees",double_16,normal,lognormal,11.7,0.3,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Aerospace & Defense sector",double_17,normal,lognormal,11.65,0.25,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Information Technology sector, the company has 10000+ Employees",double_18,normal,lognormal,11.736,0.25,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is in CA",double_19,normal,lognormal,11.85,0.3,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has $10+ billion (USD) revenue, and the company has 10000+ Employees",triple_0,normal,lognormal,11.78,0.25,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company has 10000+ Employees, and the company is public",triple_1,normal,lognormal,11.916,0.115,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA, and the company has 10000+ Employees",triple_2,normal,lognormal,11.81,0.15,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Healthcare sector, and the company has 10000+ Employees",triple_3,normal,lognormal,11.699,0.2,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company is in CA, and the company is in the Information Technology sector",triple_4,normal,lognormal,11.775,0.3,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company has $10+ billion (USD) revenue, and the company is in the Information Technology sector",triple_5,normal,lognormal,11.918,0.3,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company is not public, and the company has $1 to $5 billion (USD) revenue",triple_6,normal,lognormal,11.695,0.15,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue, the company is public, and the company is in CA",triple_7,normal,lognormal,11.92,0.25,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 10000+ Employees, the company has $10+ billion (USD) revenue, and the company is in CA",triple_8,normal,lognormal,12.1,0.3,,
